,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
255,PNB,EQ,2018-05-23,81.55,81.4,83.5,79.7,80.75,80.55,81.91,29450321,2412215885.15,76144,2697822,9.16,May,2018,-0.012262415695892037,Slight or No change
256,PNB,EQ,2018-05-24,80.55,80.7,82.5,80.05,82.35,82.1,81.42,19933989,1622967272.75,48522,2064728,10.36,May,2018,0.019242706393544307,Slight or No change
257,PNB,EQ,2018-05-25,82.1,81.95,84.55,81.3,83.6,83.35,83.11,19102160,1587532024.05,52027,2807418,14.7,May,2018,0.015225334957368997,Slight or No change
258,PNB,EQ,2018-05-28,83.35,83.7,89.6,83.6,88.4,88.7,87.43,34946952,3055492624.75,96971,4422380,12.65,May,2018,0.06418716256748658,Slight or No change
259,PNB,EQ,2018-05-29,88.7,88.5,89.2,85.25,85.45,85.65,87.19,27758350,2420205425.3,90847,6309512,22.73,May,2018,-0.0343855693348365,Slight or No change
260,PNB,EQ,2018-05-30,85.65,84.6,87.0,84.3,86.05,86.1,85.84,18814541,1615104965.9,52657,2500535,13.29,May,2018,0.005253940455341333,Slight or No change
261,PNB,EQ,2018-05-31,86.1,86.65,87.0,83.25,83.9,83.65,84.78,17359606,1471828999.15,51006,3270262,18.84,May,2018,-0.028455284552845406,Slight or No change
262,PNB,EQ,2018-06-01,83.65,84.0,84.85,82.05,83.2,82.95,83.31,20636225,1719197830.75,58753,2091487,10.14,June,2018,-0.008368200836820106,Slight or No change
263,PNB,EQ,2018-06-04,82.95,83.6,85.0,82.2,83.6,83.2,83.66,15456025,1293038063.95,43413,1620882,10.49,June,2018,0.003013863773357439,Slight or No change
264,PNB,EQ,2018-06-05,83.2,83.2,83.8,81.05,82.65,82.65,82.4,14615089,1204351434.15,43049,1320337,9.03,June,2018,-0.006610576923076872,Slight or No change
265,PNB,EQ,2018-06-06,82.65,82.75,85.5,82.3,84.5,84.7,84.23,18167507,1530232914.9,52345,2337017,12.86,June,2018,0.024803387779794184,Slight or No change
266,PNB,EQ,2018-06-07,84.7,85.1,86.85,84.35,86.05,86.1,85.71,17624425,1510677289.4,49146,2148594,12.19,June,2018,0.016528925619834656,Slight or No change
267,PNB,EQ,2018-06-08,86.1,86.0,91.2,85.4,90.3,90.45,89.14,39225458,3496500616.9,107440,5012234,12.78,June,2018,0.05052264808362383,Slight or No change
268,PNB,EQ,2018-06-11,90.45,92.0,94.7,91.1,91.4,91.6,92.94,37150478,3452764975.25,110986,4395088,11.83,June,2018,0.012714206744057321,Slight or No change
